x,w,wexp(x),Ln(x+eps),Ln(x-eps)
L4
0.3225476896193923118003614591043674797437572244742957671884518538069686787077040098685851872116594584944979509798293871703860572232838845485305004308695,0.6031541043416336016359660238180782113018371867659489319846731614418089861258586735779491056652975940570416718979142805335723047138487112839340912991387,0.83273912383788924661208414308303429689058205315885775819325983125405410124488717224325238634258363622173241089344255230555732027947957055782228410485,9.1202e-155,-7.7893e-155
1.745761101158346575686816712517947023673874515531072501782782660998456057442197164140130458088740492535016527798734629777589575165863796245454082794788,0.3574186924377996866414920174580912817635783649193409217482250466757641592070271151436284656291221576707912103649983537419901296862013625469346737034739,2.048102438454296821400444679834060847910479375326565511244492581927668453509973592228939573505508956000241746511742652105484304305793307353089903380032,-1.0014e-154,2.7754e-154
4.53662029692112798327928538495713788012578435338680464974805758755582845087514315897653880111804339422367719846874444891102785907502276633980249056897,0.03888790851500538427243816815620991372230719134827690218163529240452576291017698099984331190929904304533802084538762483844951840693180872431389178358365,3.631146305821517861596356263683881610230455719966220450422932347920091326023905329234010492477485333543288042666596248609245836528027690929211574056415,9.9263e-154,-1.8485e-153
9.395070912301133129233536443420547616456583906607827081280707897638746812974955667014745553581556654746808322752691534140996508535829552866212926205372,5.392947055613274501037905676205932122772569664332440854664994779010917569372302785791167962812052268290968916997408859880471930181174448173432138037918e-4,6.487145084407662271595341476759687860079401386149370357434798754537645436298013940959055202299947286962697632180715021374580423125008008291149925076361,-1.4994e-152,1.8536e-152
L5
0.2635603197181409102030619433608333346890075699055169278626150283831131438046884853888014286367681424716848911810974826400357195074228095307041940472941,0.5217556105828086524758609287924500399119554812970853251314192904208501990560984890476349015517106502387301041533414057392553644994286696095235989764541,0.6790940422077504550221044784036762891658570399933146142053172353075621947026636147390703125942049013071895096617021590110939242428367516344768526054291,1.2136e-154,-7.9762e-155
1.413403059106516792218407980187557749539096004380880280554408297900742377592354294632071875549162504722547195499148480079386113043916655502545984624651,0.3986668110831759274541333481444192823834784622487164483031347604840264800165979934144477416138614672814220766341761253428213103714540744957887654520809,1.638487873602747211225491585915833386956209397182107997242662709373206487172157473993437613205153719982152271156112230528448350158572000079268484679131,-1.2321e-154,2.7422e-154
3.596425771040722081223186588782971665671150940710574538253074419444595035340244283770723676354534463586988774883226656858209017333432655341945519855873,0.07594244968170759538765331140554090387328735861979070143775048603629220815672504729698376576306614710876511976668410210299459974161580506194497863610773,2.769443242370838094901960543997792832289088722304726298313841972312948789310921120775884875999314054595856438076028654850635474333574109094292446904674,8.3881e-154,-3.0290e-154
7.085810005858837556922124181108086000385935670784940882578921655737736629317011861316381315331093202242780296517779211864086160307496852678324558641396,0.003611758679922048454461262573038192553590828374073124348730999398594824744560758646873845788473851871276809105907098971640486823807132006418652388709519,4.315656900920894715028571949273407808065680220450165727704391510582475410954043890129394775615669428420622193201043052886188488259044334724842566904318,-3.1500e-153,4.3094e-153
12.64080084427578265943321930656055124971480981421808737075098059853381281394570107489202170412844168697599884191874816855828298980773102694647974283078,2.336997238577622789114908455158127768786946033440077896446366023628802601771159405974528288788349980589033989126784328823856369431882632400454664773116e-5,7.219186354354448325884717428463434139189306963028598062506502666730044585630207869848113679999221595947816388761941787281320365946032868351060572422323,4.5660e-152,-9.3199e-152
L6
0.2228466041792606894643548267866737242822252688576002963291303937536401044309010515955776164183680980356596527108253381922688256300695486831498596427151,0.4589646739499635935682848777094125187193189956115607330572342769321511556451416916036996398845333019915447562405086520243059684704076684774443475145094,0.5735355074227380945742340482329428918934593392662592616559629277257702741956322355632946329695521613122254541223631163413577425869290142693946944645588,4.7140e-155,-6.9466e-155
1.188932101672623030743150921935052745154296570089671016518761222862943356860203312806216636083315729694689489681896670394808068466656073596411889444032,0.4170008307721209941133775661932916139825635081573587341952710263999265379132355587735399512288030433761408400514914632998106562838445372278403941763029,1.369252590712304526185492074585050691035526359043900018286638820307222031952871131835102839751140283334364626694143960890066024204972553711108956630516,-2.0052e-154,2.2318e-154
2.992736326059314077691325284513675843160301186514696050581976320985026057506756326143056854935719883908384512227780414407982684109509504563261172242201,0.1133733820740449757387061850982938081191985037433346413175327825830452631969599912725774402696417692374321211469948560250039067965455085902101729128677,2.260684593382672345714503398030081870094735271140836121589434351051331780792647809879942963714154879524685697760330399197634887080693407546387004357434,3.1269e-154,-7.1165e-154
5.775143569104510501839830369433571311334116782700457560326826376525846664574720250069518682808674813105956115172293171120046342225155907225387407782513,0.01039919745314907489891330284694784799373826290660856099244149931429194793398672467307177974045848454296166154835720076564461305018183998642972847820288,3.350524582355456722655733403261842721830077964634375132026010103113235457328415512096071898724140063780415831910102813888754523777233223408883834350999,-2.3343e-153,2.5352e-153
9.837467418382589917715547029942540818219135128979579386971656464085086484377693500300087127510565284321908864080153857961853175435417394558452222832585,2.610172028149320594792428600013863110565067874138197142532963132991486571137957257383171329530977910656355539248310289367427794462938306102673269761869e-4,4.886826800210824951806216890779168709983609597868114063142713229941122771249323829767161228006413387868407986145873450314731296849141882398002462602273,2.2379e-152,-2.4721e-152
15.98287398060170178254579156738848555784992506285799568927164922178745733224972555908554308224335619093340136612705054792304090413319157137333744805595,8.985479064296212388252920528248741242227937235107232671184572859466535622379513728717436103030608549854587229968562981126195741518874650895911407901879e-7,7.849015945595821394062658607112706938696471135230516342688233813640679873132863554299541117581156409407292689607198588579154605595409320071014730197395,-4.5932e-151,1.7047e-151
L7
